uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0A1X0XWA4	0.3333333333333333	1;3;7;11;14;18;22;24;26;28;32	33	2.818752771615982	1.0500552477853042	0.57	1;2;4;5;7;8;9;11;12;13;15;16;17;18;19;20;21;23;24;26;28;30;31;34;35;36;37;38;41;43;45;46;48;53;55;57;62;64;65;66;68;69;70;71;72;73;79;80;83;85;86;90;92;94;97;98;100
A0A1X1U567	0.36666666666666664	2;3;6;7;13;18;21;22;23;25;29	30	2.886065956354141	0.9734456807001863	0.67	1;3;4;5;6;7;8;9;10;11;13;14;15;18;19;20;22;23;24;25;26;27;29;30;31;33;34;36;38;41;42;43;46;48;49;50;51;54;55;57;58;60;61;62;63;64;65;66;67;69;71;73;75;76;77;78;85;88;89;90;91;92;93;94;95;96;97
A0A1X1WD57	0.32	2;3;4;8;10;14;21;22;27;29;30;32;37;39;42;50	50	2.394570894241333	1.3202313332176112	0.63	1;2;3;4;5;6;7;8;10;11;12;14;15;17;18;19;20;21;22;24;27;30;31;32;36;37;38;40;41;42;43;45;46;47;48;49;50;51;53;55;57;61;63;64;66;67;69;70;71;74;75;77;78;79;80;83;84;87;88;89;90;98;100
A0A1X1ZAJ3	0.35135135135135137	2;6;7;9;17;21;24;26;28;30;31;35;36	37	2.629754374027252	0.9750391944925257	0.97	1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;94;95;96;97;98;99;100
A0A1Y2NRV5	0.3684210526315789	3;4;6;10;13;18;20;21;24;25;27;28;34;37	38	2.8478902530670167	1.340920480729344	0.9	1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;64;65;66;68;69;70;71;72;73;74;75;77;78;79;80;81;83;84;86;87;88;89;90;91;93;94;95;96;97;98;99;100
A0A2U9PQ99	0.38461538461538464	3;5;9;10;14;21;24;26;27;28;34;35;36;37;39	39	2.666025360822678	1.1647759078338467	0.63	1;2;3;4;6;7;10;11;12;13;14;16;20;22;25;26;27;29;34;35;37;38;42;44;47;49;50;51;52;53;54;55;56;57;58;60;62;63;65;66;68;69;72;74;76;77;78;80;81;82;83;84;85;87;88;91;92;93;94;96;97;99;100
A0A318K9K9	0.40425531914893614	1;5;6;7;8;9;12;13;16;23;26;27;28;29;33;35;36;40;47	47	2.498021339178085	1.29276784449665	0.86	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;35;36;37;38;40;41;42;43;45;46;47;48;49;50;51;53;54;55;56;57;60;61;62;63;64;65;67;68;69;70;71;72;73;75;77;78;79;80;81;82;83;84;86;87;88;89;90;91;92;94;95;96;97;98;99
A0A375YKM9	0.2833333333333333	5;9;11;12;14;16;18;23;26;27;33;37;43;47;50;54;55	60	2.117049814462662	1.266957940838046	0.59	1;2;3;4;5;6;8;11;13;14;15;17;18;19;21;23;24;26;27;28;29;30;31;32;35;36;40;41;42;44;46;48;49;51;54;55;58;59;60;61;62;63;64;65;67;68;72;74;75;77;78;79;83;84;86;89;90;95;100
A0A3S4RS92	0.3958333333333333	2;4;5;6;9;10;12;14;18;20;22;25;30;32;38;41;43;46;48	48	2.4143829345703125	1.0886870574782597	0.72	2;3;4;5;6;7;8;9;12;13;14;15;16;17;18;21;22;23;24;25;26;28;29;30;32;33;34;35;36;37;38;40;41;43;44;45;46;47;48;50;51;53;54;55;58;59;61;62;63;64;65;66;68;70;72;73;74;75;77;78;80;81;82;83;85;87;89;90;91;97;98;99
A0A498PZU2	0.3181818181818182	5;6;12;15;18;19;20;21;23;26;29;30;35;44	44	2.591426393389702	1.1355477828114744	0.93	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;81;82;83;84;87;88;89;90;91;92;93;94;95;96;99;100
